iban,klant_id,saldo,title,type
GB36 OERX 5086 9941 2852 93,29,8736,Feil LLC,particulier
RS12 2592 3777 6413 7784 25,126,37796,Heller-Towne,particulier
GT22 0U9U YQQK JWYI 0GZN Q8OT J2LK,7,27041,"Daugherty, Pollich and Marks",particulier
PT38 8469 5099 8968 2380 3495 0,190,31582,"Yost, Johnson and McGlynn",particulier
HU72 3312 2625 0550 5487 3747 6234,46,7071,Wiza LLC,particulier
KZ69 246U BIVE M74P GDP7,178,21129,"Emard, Sawayn and Turcotte",particulier
GL69 9210 4497 6783 94,170,14719,Bosco LLC,particulier
AT97 0799 2357 8967 8660,115,17777,"Rosenbaum, Wolf and Bashirian",particulier
LB69 5593 GLSW KH2Z WM1O NDOZ H7AV,47,21658,McGlynn and Sons,particulier
SA67 67AQ AUTE UHFW 8JWM AIJ2,153,17167,Vandervort-Olson,particulier
FR31 4011 9713 03PV XNPU 2O7F L46,22,22330,Bailey and Sons,particulier
GB97 UXQM 5797 8916 2183 17,180,12472,"Farrell, Cronin and Larkin",particulier
FO80 6908 3757 6165 86,39,48706,"Hessel, Predovic and Cormier",particulier
FR47 7575 5570 91CI DESC ICJW L01,95,14061,Corkery Group,particulier
BE41 2025 9057 6217,184,18401,Corkery Group,particulier
CY11 4668 4713 Y6PT 3ANT UNND T6CD,58,14218,"Christiansen, Hyatt and Marvin",particulier
MU73 OAJZ 5903 4832 4991 5364 085N ZN,94,49645,Fay-Bernier,particulier
TR78 4931 3FZA VVIH JBHZ 6PSK 7U,194,11306,Deckow Inc,particulier
FR58 8192 6497 343E 6CWW 0GW6 W36,175,41837,Ferry-Farrell,particulier
KW13 OZLE RSSS DQ8C MWUF XMQU BTMW QZ,171,3931,"Yost, Schowalter and Hintz",particulier
ME51 8065 6076 5532 8920 49,11,32419,Batz-Littel,particulier
IL43 0157 5386 2181 9624 647,25,47504,"O'Keefe, Terry and McDermott",particulier
AT76 3323 3923 1504 5325,62,5596,Hammes LLC,particulier
BH88 FQUX IZSM XJKY KXVY DD,96,48218,"Bednar, Wehner and Funk",particulier
HR73 7894 6743 8312 3567 7,46,5141,Nitzsche-Schmidt,particulier
GE64 IV04 2143 6381 4142 46,48,34202,Hermiston-Senger,particulier
MU04 ZCCX 1907 0582 0542 2372 624C PR,98,21901,Okuneva and Sons,particulier
FR62 8966 5644 74LA 67O5 ZQ2P I85,68,17113,Ritchie Inc,particulier
BH31 CXQI LELG RHCN 4OO1 XI,148,3582,Jacobs and Sons,particulier
BH26 ETXX 7O4I TXBV EHNT DB,136,13708,"Turner, Pagac and Metz",particulier
IE19 VXNS 4522 2126 5532 99,134,48163,"Johnson, Bartell and Turner",particulier
FR05 4409 4415 216Z A87V D7LW 915,121,36981,"Zboncak, Nader and Treutel",particulier
AE21 3388 4988 5207 5683 348,26,25200,"Dicki, Bogan and Lind",particulier
EE97 6217 1252 2235 6937,112,17978,Hirthe-Kuhlman,particulier
BE77 9007 8226 4092,101,1949,Hand-Mayer,particulier
KZ12 077B T4IZ AJWG HXEK,195,10761,Kemmer Group,particulier
TN78 8867 9559 8344 6033 2440,184,5016,"Smitham, Osinski and Mitchell",particulier
ME30 1489 1515 7677 9980 62,193,42059,"Feest, Runolfsson and Howell",particulier
GE87 CU63 4983 5956 5135 06,131,38176,"Schaefer, Kshlerin and Toy",particulier
VG14 KCTU 4008 0879 7719 0073,93,3643,Ward-Lubowitz,particulier
BR73 0803 7471 2044 7598 7716 880W N,160,27661,"Gorczany, Lockman and Kuvalis",particulier
EE39 8456 6699 2696 9104,134,7150,"Daugherty, Rowe and Hagenes",particulier
TN50 3238 1287 8015 5699 7557,98,44505,"Buckridge, Hayes and Hamill",particulier
FR90 4956 6818 00VL D6TJ ZY7I U50,19,27195,Dibbert Inc,particulier
DO65 6H3I 9290 5862 1652 3451 3030,72,29000,Reilly-Wisozk,particulier
SE85 0347 3746 8002 8469 1481,106,16203,Schamberger-Ernser,particulier
BE73 2625 2535 4778,197,8056,"Mante, O'Keefe and Ratke",particulier
CY07 7770 3421 NDMN GGUQ LA8Z IM2Y,199,25446,Jacobi and Sons,particulier
PL33 6846 9356 9840 4748 4865 3683,177,23483,"Stiedemann, Hayes and Goyette",particulier
IS87 2731 3222 7618 6130 1256 73,73,37599,Boyle LLC,particulier
GB85 FPWB 6078 3638 9770 72,39,41361,"Grimes, Kerluke and Cassin",particulier
SI44 9245 4208 6923 249,115,16523,Fisher-Dickinson,particulier
FR96 1451 7052 11MD SQFT SEYW 931,92,49190,"Pouros, Kuhic and Kuhic",particulier
DE91 8077 0878 4071 1589 73,59,20465,Heller LLC,particulier
DK25 3946 9729 8754 53,56,13091,"Heathcote, Kuhic and Prosacco",particulier
GL22 1662 2198 9136 73,111,18666,"Murphy, Kassulke and Cummings",particulier
AT75 0991 8688 5867 0030,100,25634,Heaney-Kling,particulier
AT77 0678 5662 7097 7471,139,34626,"Glover, Fritsch and Steuber",particulier
CY29 4432 5811 6H4W WPEV OUZC 0MWG,33,37771,Frami-Sporer,particulier
BH06 RIQW WEZC OGJN SNOT VO,106,17216,Oberbrunner-Ratke,particulier
AT41 1320 8011 7916 3710,36,49318,Pacocha Group,particulier
ES84 9439 9148 4126 7330 1791,159,20866,Tillman-Nitzsche,particulier
IT56 O318 2693 572S FEVH OKWY KB9,75,26672,"Rice, Spencer and Ryan",particulier
FR38 6714 5726 52W3 JV4N RCFZ Y57,68,16143,"Dibbert, Hackett and Stamm",particulier
SE43 0913 7285 0548 9730 6454,32,14878,"Zemlak, Walter and Larkin",particulier
MC61 4760 0360 63TL O4RQ 116A X49,133,26227,"Schuppe, Cartwright and Douglas",particulier
LU18 162L IEDD 2TVN CLQW,158,13965,Yundt and Sons,particulier
MT54 NOKY 4084 9LRP LHER ZKLH WEAS LZN,135,5426,McCullough-Waelchi,particulier
NO95 4354 0596 201,39,18980,Torp-Torphy,particulier
GI56 BESC 43SU XFL8 RMAC D5V,160,15291,Buckridge LLC,particulier
FR37 8682 9675 85DZ DJTM JGBP 683,193,31060,Rodriguez Group,particulier
DE34 9443 7330 9456 3147 58,107,6681,White-Schamberger,particulier
RO53 EDPQ DFRG PSKN 747H Z2ZK,91,17333,Flatley-Bradtke,particulier
ES98 7423 8570 3147 8995 5666,148,46639,Koss-Powlowski,particulier
FO12 6667 6012 3246 82,195,16843,"Rath, Morar and Hoppe",particulier
MR74 6983 9261 5411 1746 8044 171,85,22077,"Hoeger, Maggio and Glover",particulier
RS97 5320 7357 9983 9473 51,43,25536,"Runolfsdottir, Rempel and Beatty",particulier
FR15 8222 5498 71Z3 2HSO 6YQV M05,112,37926,Fahey-Ferry,particulier
LB18 0603 M5M5 CWHQ 4R8A MTM4 ITZK,165,37265,Schoen-Will,particulier
CZ30 9623 6003 2540 9296 8869,52,35865,"Hudson, Jacobs and Mayert",particulier
AZ04 HWRQ 0DTR 56MZ O1XE N6M1 EM57,24,42471,Moen Inc,particulier
FR07 6784 8937 78RE FZRX EV5S U03,26,33779,"Rath, Gaylord and Schroeder",particulier
CY02 9249 5905 FPJ6 1SLI Y4BT NOT3,20,26318,Marvin-Luettgen,particulier
GI22 AOYL LPI2 W1UM LXTE 0NF,38,9289,Hand Group,particulier
PK43 TLEX TWFS 4P16 B75G VSWL,192,12362,Predovic and Sons,particulier
ES39 7988 3015 4356 3753 8286,40,44497,"Collier, Frami and Gaylord",particulier
SK85 6950 4881 7030 8446 7877,11,9826,Senger LLC,particulier
KW73 JRRL ZB2X XFL5 VB1Y BJPE E6EL TX,200,15207,"Wintheiser, Schmidt and Trantow",particulier
MT45 TZND 1938 5QLS SPG6 ZD5J U8CW MGZ,3,14789,"Kub, Satterfield and Kilback",particulier
CH88 1503 5GZI 8CZC HGAY Y,125,29578,Halvorson LLC,particulier
SM21 Q789 3601 013S D0KD UG8D IFR,49,32375,"Bartell, Deckow and Grady",particulier
PL91 1751 1935 5250 5334 8670 8003,141,47216,Bashirian Inc,particulier
LV79 OKMA 5BNF V9YE M1RR J,108,33338,Vandervort-Ryan,particulier
EE87 7141 2203 5229 5059,126,20945,"Friesen, Mraz and Littel",particulier
LV43 ZZVQ SHQI QVSG YWAI J,116,46281,"Boyle, Durgan and Harris",particulier
MR54 0819 4775 6590 3526 9057 018,49,10083,O'Hara Inc,particulier
DO92 HJCG 3271 7316 6970 4474 2375,12,31002,McLaughlin Inc,particulier
KZ46 089X RAF4 FJMR SIRN,86,36225,"Herzog, Ebert and Lockman",particulier
DO44 CTWR 8308 2900 6243 2915 7694,66,34566,Bogisich-Harris,particulier
RS34 2823 9190 9664 1856 95,14,15637,Pollich Inc,particulier
KW07 OGLX LGY6 L5O3 CV1Y JPXL AM66 FV,92,15315,"Nienow, Hickle and Schmitt",particulier
SK67 3426 8117 2393 7336 7186,27,15651,Beier Inc,particulier
ME40 3784 5619 4088 5737 86,9,42851,Pfeffer and Sons,particulier
ME42 8991 7916 6896 9530 19,52,7473,Ratke and Sons,particulier
MD27 PKXB WJGU QHHG ZAW9 DSOA,103,31323,Rutherford LLC,particulier
GB05 QFGO 5491 2762 7591 35,171,171,"Emmerich, Rohan and Stoltenberg",particulier
FI30 5901 0763 2559 10,192,23936,Effertz Inc,particulier
MD34 RK5V CAHT EAEX ZOZI CCV9,62,41116,Kilback Group,particulier
BH25 YUFR VVKU YQN2 NEM2 MS,55,45280,"Gorczany, Crooks and Boyle",particulier
KZ06 825N FGYF YLG2 7CWZ,19,28508,"Brakus, Hegmann and Effertz",particulier
MR18 4474 3686 5189 7100 0799 242,28,3011,"Volkman, Ortiz and DuBuque",particulier
FR49 1526 4253 03FC YLJG HFSM 022,176,9617,Lueilwitz and Sons,particulier
VG02 MTZN 7106 6054 7837 1784,10,30617,Howe-Schroeder,particulier
GB38 TPDP 4534 7571 1363 62,179,41080,"Sipes, Padberg and Wehner",particulier
SI16 2448 9328 7165 653,17,39235,Konopelski-Orn,particulier
FR86 9171 3369 604V YVDN ROMS 504,82,46224,Will-Bednar,particulier
CR34 8003 7665 3648 4993 4,48,44255,"Casper, Altenwerth and Waters",particulier
AE86 8525 4538 1806 5593 787,160,31325,Grant Group,particulier
LB26 4811 HHIV REBL GE1M XSYL CJI4,7,26025,"Gerhold, Cole and King",particulier
TN87 3351 1959 7573 6508 9550,142,37057,Becker and Sons,particulier
TN76 7409 7769 9171 5797 3340,158,39813,Huel-Pfannerstill,particulier
PL62 1323 8299 1033 9112 2149 4579,141,29931,Bailey Inc,particulier
SE18 7369 1612 2739 5830 4961,185,47567,"Johns, Feest and Littel",particulier
GR54 1599 433R YDO6 SRUS TCVI LIN,127,12241,"Orn, Gleason and Friesen",particulier
FR44 4342 2804 99EZ TEV0 3BGD 841,105,17249,Gerhold-Rath,particulier
MR54 7290 3133 1703 6610 2565 898,92,4626,"Lesch, Kris and Johns",particulier
MU54 XQID 6388 7169 7150 0645 521E MZ,147,6067,"Greenfelder, Wintheiser and Brakus",particulier
KZ79 142K 3QHU INIY SI9N,192,44218,Hackett Group,particulier
LB49 9174 HADL 4N3L PAM4 LAJV IN5C,174,34716,"Collier, Doyle and Fritsch",particulier
GL23 7756 3141 9428 62,81,45880,"Barton, Kunze and Kerluke",particulier
LU28 2757 LYJP O5CI KTLL,7,9808,Dooley and Sons,particulier
MR48 8928 4120 4204 3611 9326 698,9,45370,Reynolds and Sons,particulier
MC39 3427 2392 17XI AOPA OWVH Y39,187,11524,Morar and Sons,particulier
FR16 8686 1272 590P RGXW C3VN P22,169,6454,Buckridge LLC,particulier
FO66 8592 0087 3759 74,68,20791,"Douglas, Schuster and Labadie",particulier
AT30 0112 9156 6039 5916,117,31620,"Senger, Cummerata and Schoen",particulier
FO98 8772 0323 3739 80,156,16514,Roberts-Kirlin,particulier
AD95 9701 9003 UXMQ ZOA0 QYPP,57,26428,"Kuhlman, O'Keefe and Wehner",particulier
FR45 1560 3206 05BF 4ZG3 WHD2 C61,24,21780,"Welch, Beier and Macejkovic",particulier
VG90 DVVM 7132 7805 5114 1092,193,35355,Kessler and Sons,particulier
SK88 3898 0881 3230 1111 5823,145,39020,"Reilly, VonRueden and Anderson",particulier
RS15 4073 5672 9595 4345 85,165,32250,Runolfsson-Hyatt,particulier
NO34 9922 2052 827,198,23249,"Klocko, Maggio and O'Kon",particulier
LI86 2574 7O4Z Q2V1 9PXS N,67,36146,Armstrong LLC,particulier
LI72 7814 92NX MZF7 NZOR S,137,43415,Baumbach-Rippin,particulier
HU44 9092 0510 7650 7492 2027 3680,1,15658,"Crona, Swift and Dicki",particulier
FR05 0101 4535 00KO VRHM IJU1 V15,97,26854,"Keebler, McClure and Shields",particulier
VG95 IFIR 5202 2291 5476 3254,120,8031,Hintz and Sons,particulier
RS73 7943 3604 1716 4522 86,77,41501,Kshlerin and Sons,particulier
FR84 3679 5441 24PA ES4G XIS1 R80,73,22883,Keebler-Hickle,particulier
VG80 UQLW 3609 8908 1762 2445,128,36156,Barrows-Crona,particulier
BG86 WTNH 9839 66PW GBRL XK,100,14295,Nitzsche-Raynor,particulier
NO27 8273 5543 498,82,46751,Bartoletti Group,particulier
IT24 K363 7716 683O YOZB RW0S MOU,134,34742,"Schowalter, Flatley and Halvorson",particulier
SA69 30J2 EYJS HUSV RQ4E PQLM,12,9035,"Kuhlman, Satterfield and Senger",particulier
FR55 0284 7891 67NQ T1QP ZE95 323,164,5358,Buckridge-Crist,particulier
PT52 8036 3460 8350 0306 7010 6,136,27744,Emmerich Inc,particulier
HU19 3280 4016 2733 2871 2477 4284,70,13836,"Rath, Harber and Runolfsdottir",particulier
GR53 0008 526P A5NC UFX9 DWGO MAW,126,43376,"Robel, Roberts and Grimes",particulier
NL08 DMCL 9055 2962 39,200,6385,"Schamberger, Pollich and Nienow",particulier
MC72 8096 9629 76XQ MDLK B4N0 W13,152,17931,Gaylord and Sons,particulier
MT48 XNLF 7606 8ZTZ XQRM 3UDG FU9S IF0,121,35448,Carter-Konopelski,particulier
BR65 3440 5909 2388 8104 4768 723A 9,165,26169,"Rogahn, Cole and Koelpin",particulier
FR59 2067 2015 32IS MDK2 PQBT I35,47,27032,"Littel, Balistreri and Gislason",particulier
EE66 5744 1303 4488 4312,171,9387,"Kemmer, Watsica and Cassin",particulier
BE62 7409 2122 6376,38,2654,"Ernser, Satterfield and Flatley",particulier
AE96 9028 1525 8608 0386 701,69,23193,D'Amore and Sons,particulier
LT40 0333 9084 5730 1614,20,10607,Kovacek-Wintheiser,particulier
GE49 GR68 0430 2235 1316 44,100,42146,Ritchie-Marks,particulier
MU52 VUDK 8871 9302 4112 4460 264R ZG,140,38664,"Kshlerin, Weimann and Marks",particulier
FR91 9534 9941 918I 7R0D NU8U 191,20,23508,"Bergnaum, Okuneva and Herzog",particulier
MK05 811V CLUX LQVV I79,120,19822,Breitenberg Inc,particulier
MR91 5102 8394 9969 4806 3467 735,112,1289,Johnson Group,particulier
BR21 4419 2932 3209 5338 4908 202V 8,29,36505,Emard-Rohan,particulier
AD70 1057 8210 ALLH E23B ELQT,109,35467,Armstrong-O'Keefe,particulier
FR36 1053 7673 75X7 U1GR QOOL L21,189,37413,Koelpin-Cormier,particulier
GL12 3161 4137 7377 06,71,1488,"Rau, Halvorson and Stanton",particulier
SI51 1531 2023 5259 436,199,14003,Kunde-Nitzsche,particulier
MC46 6495 5563 44L0 WPCE A1OY 415,4,17723,"Lind, Kunze and Heathcote",particulier
FR02 9716 4332 44OX XBUY UMGX G44,146,2041,Konopelski Group,particulier
FR13 6392 7058 36KS SWFU X31Q B81,92,24887,"Rowe, Nitzsche and Kihn",particulier
NL71 PVRX 8720 5628 12,17,13090,Johns-MacGyver,particulier
GT51 2ADX ZAN3 USYG DQOZ PR5K FLGM,122,17796,Huels-Lynch,particulier
DE06 4372 9312 2089 6313 99,110,33876,"Littel, Swift and Johnson",particulier
BA55 5414 5729 0922 6864,169,20109,"Graham, Hackett and Turcotte",particulier
RO45 XAHI CUSY BBNQ 7IS3 PCOY,117,24544,"Romaguera, Denesik and Weimann",particulier
RO93 FWDN YX2J IHYC M4XY MRLG,84,34723,Towne-Ledner,particulier
LT11 3462 4858 7176 1445,86,31253,Boehm-Rodriguez,particulier
MT08 ZKWR 8813 3O2X EOHC PSIE PAFL GIK,53,1754,"Dickens, Kuvalis and Herman",particulier
AL90 5974 0856 MUX2 HLNH FZZ2 PQUM,99,38552,Stiedemann-Hudson,particulier
BH29 MVFZ XIHE 2NEF 4SYY 4Q,37,48409,Hane-Kiehn,particulier
GR95 7834 2189 Y1HU 2ZOH ZKJJ PA4,169,18606,O'Reilly and Sons,particulier
FR57 3724 2443 07AG RN3B EYJ5 J08,75,10252,Blanda and Sons,particulier
FR88 2688 4708 83QS 9X5X 6Y71 U45,62,46618,"Wolff, Russel and Haag",particulier
LT07 6821 4477 5319 3167,128,7980,Keeling Inc,particulier
FR70 1022 3998 48BM TSVT DORF K78,29,2000,O'Keefe-Farrell,particulier
AZ06 XDFV ZKMF EGRH RATL W2W1 3BCV,68,46005,Gibson LLC,particulier
LU38 177C UY4D 2FLT JUO8,15,6511,Armstrong-Wiza,particulier
EE83 3343 6743 4384 0960,49,14521,Heaney-Ullrich,particulier
FR86 9743 6060 43YU OU5Z T6MS 856,15,34498,"Christiansen, Hodkiewicz and Becker",particulier
NO38 1766 9349 315,185,43528,"Dach, Mosciski and Rempel",particulier
PT93 2726 2417 8160 8504 2656 2,182,3543,Steuber Inc,particulier
CY59 4186 2376 ZNH5 PRHJ IV73 MZIR,13,19357,Cole-Bailey,particulier
GL32 3480 5605 9513 51,32,35218,Sawayn Group,particulier
FR43 0554 6817 517S 8FVF TTJP L62,49,11096,Little-Schaefer,particulier
FR79 3035 5562 89ZU BRYB 4LVK D67,61,8987,Carter-Conroy,particulier
VG45 OCAT 3296 7051 3883 0100,112,23340,"Reichel, Christiansen and Waelchi",particulier
SI27 6771 9700 8487 148,159,43107,Lind and Sons,particulier
BG33 QVHQ 3906 35NW ON9Q S7,171,10593,Prohaska-Bechtelar,particulier
DK10 1528 2764 4101 40,162,11280,"Kunde, Heathcote and Ernser",particulier
BH77 DJFE RQCM HZTQ NKDH 9Q,157,8366,Leffler and Sons,particulier
FR60 7445 8624 74LV OYJ4 YIEN S18,142,28997,Haley Inc,particulier
CZ80 3568 4930 1213 0185 2611,153,7889,Volkman and Sons,particulier
CH83 5749 77KJ UAU8 G3B6 S,184,27406,"Kris, Howe and Boyer",particulier
AL02 8544 2460 V2C2 GT6R NMAW EUHP,87,40708,"Witting, Terry and O'Hara",particulier
BG98 LGOH 2163 27J0 WL6Q HT,198,20715,Kub Group,particulier
SK35 9532 7812 1964 7794 5934,127,5429,Rippin and Sons,particulier
GI55 QSIR BWXH WBQO ARWX DFW,149,18784,Olson-Satterfield,particulier
FI74 2572 6554 5880 93,36,934,"Russel, Rath and Jacobson",particulier
FI50 5507 5779 1659 05,189,47756,Thompson Group,particulier
